Population,Football,Small Size,Corruption,Forest Cover,Basketball,Pollution,Cuisine
1. India,1. Spain,1. Vatican City,1. South Sudan,1. Suriname,1. United States,1. Bangladesh,1. Greece
2. China,2. France,2. Monaco,2. Somalia,2. Guyana,2. Germany,2. India,2. Italy
3. United States,3. Argentina,3. Nauru,3. Venezuela,3. Micronesia,3. Serbia,3. Nepal,3. Mexico
4. Indonesia,4. United Kingdom,4. Tuvalu,4. Syria,4. Gabon,4. France,4. Qatar,4. Spain
5. Pakistan,5. Portugal,5. San Marino,5. Yemen,5. Palau,5. Canada,5. Pakistan,5. Portugal
6. Nigeria,6. Brazil,6. Liechtenstein,6. Libya,6. Solomon Islands,6. Australia,6. DR Congo,6. Turkey
7. Brazil,7. Netherlands,7. Marshall Islands,7. Eritrea,7. Equatorial Guinea,7. Spain,7. Burundi,7. Indonesia
8. Bangladesh,8. Belgium,8. Saint Kitts and Nevis,8. Equatorial Guinea,8. Papua New Guinea,8. Argentina,8. Rwanda,8. France
9. Russia,9. Croatia,9. Maldives,9. Nicaragua,9. Liberia,9. Lithuania,9. Equatorial Guinea,9. Japan
10. Mexico,10. Italy,10. Malta,10. Sudan,10. Finland,10. Brazil,10. Cameroon,10. China
11. Japan,11. Morocco,11. Grenada,11. North Korea,11. Seychelles,11. Latvia,11. Republic of the Congo,11. Poland
12. Philippines,12. Germany,12. Saint Vincent and the Grenadines,12. Myanmar,12. Saint Vincent and the Grenadines,12. Turkey,12. Iraq,12. India
13. Ethiopia,13. Colombia,13. Barbados,13. Haiti,13. Brunei,13. Greece,13. Mongolia,13. United States
14. DR Congo,14. Mexico,14. Antigua and Barbuda,14. Turkmenistan,14. Laos,14. Slovenia,14. Bolivia,14. Peru
15. Egypt,15. Uruguay,15. Seychelles,15. Burundi,15. Bhutan,15. Italy,15. Myanmar,15. Serbia
16. Vietnam,16. United States,16. Palau,16. Afghanistan,16. Guinea-Bissau,16. Finland,16. China,16. Brazil
17. Iran,17. Switzerland,17. Andorra,17. Tajikistan,17. Sweden,17. Montenegro,17. Lesotho,17. Croatia
18. Turkey,18. Senegal,18. Saint Lucia,18. DR Congo,18. Japan,18. Poland,18. Uganda,18. Colombia
19. Germany,19. Japan,19. Micronesia,19. Zimbabwe,19. South Korea,19. Georgia,19. Saudi Arabia,19. Vietnam
20. France,20. Denmark,20. Singapore,20. Guinea-Bissau,20. kaki,20. Dominican Republic,20. El Salvador,20. Hungary
21. United Kingdom,21. Iran,21. Tonga,21. Comoros,21. Dominica,21. Japan,21. Gabon,21. Algeria
22. Thailand,22. Austria,22. Dominica,22. Chad,22. Fiji,22. Japan,22. Peru,22. South Korea
23. South Africa,23. South Korea,23. Bahrain,23. Cambodia,23. Timor-Leste,23. Czech Republic,23. Guatemala,23. Germany
24. Tanzania,24. Ecuador,24. Kiribati,24. Russia,24. Montenegro,24. South Sudan,24. Nigeria,24. Romania
25. Italy,25. Australia,25. Sao Tome and Principe,25. Lebanon,25. Slovenia,25. New Zealand,25. Central African Republic,25. Argentina
26. Colombia,26. Canada,26. Comoros,26. Honduras,26. kaki,26. Iran,26. Honduras,26. Lebanon
27. Kenya,27. Turkey,27. Mauritius,27. Azerbaijan,27. Zambia,27. China,27. Bosnia and Herzegovina,27. Czech Republic
28. Myanmar,28. Ukraine,28. Luxembourg,28. Iran,28. Brazil,28. Venezuela,28. Vietnam,28. Thailand
29. South Korea,29. Panama,29. Samoa,29. Republic of the Congo,29. Malaysia,29. Angola,29. Laos,29. Georgia
30. Sudan,30. Norway,30. Cape Verde,30. Bangladesh,30. Samoa,30. Lebanon,30. South Africa,30. Tunisia
31. Spain,31. Sweden,31. Trinidad and Tobago,31. Paraguay,31. Estonia,31. Mexico,31. Chile,31. Austria
32. Algeria,32. Russia,32. Brunei,32. Central African Republic,32. Panama,32. Israel,32. Syria,32. Chile
